id,name,screen_name,fav_number,statuses_count,followers_count,friends_count,favourites_count,listed_count,created_at,url,lang,time_zone,location,default_profile,default_profile_image,geo_enabled,profile_image_url,profile_banner_url,profile_use_background_image,profile_background_image_url_https,profile_text_color,profile_image_url_https,profile_sidebar_border_color,profile_background_tile,profile_sidebar_fill_color,profile_background_image_url,profile_background_color,profile_link_color,utc_offset,protected,verified,description,updated,dataset
8072492,alessandra elle,alessandraelle,516,2754,477,218,224,13,Thu Aug 09 06:16:43 +0000 2007,http://t.co/oyLI89dch3,it,Rome,Italy - World,,,1,http://a0.twimg.com/profile_images/3364020342/08216a5260de86871e8599f4f2bd1613_normal.jpeg,https://si0.twimg.com/profile_banners/8072492/1362352519,1,https://si0.twimg.com/profile_background_images/418776022/poesia1.jpg,333333,https://si0.twimg.com/profile_images/3364020342/08216a5260de86871e8599f4f2bd1613_normal.jpeg,BDDCAD,,DDFFCC,http://a0.twimg.com/profile_background_images/418776022/poesia1.jpg,9AE4E8,0084B4,3600,,,"''Lying in wait, set to pounce on the blank page, are letters up to no good, clutches of clauses so subordinate they'll never let her get away''. W. Szymborska",2/14/2015 10:54,E13
8291932,Mackley,mackley,0,26713,1390,1177,914,68,Sun Aug 19 21:03:45 +0000 2007,http://about.me/mackley,en,Amsterdam,"Romagna, Italy",,,1,http://a0.twimg.com/profile_images/1105526925/Mackley_B_W_normal.png,https://si0.twimg.com/profile_banners/8291932/1351413592,,https://si0.twimg.com/profile_background_images/109123058/paper.gif,333333,https://si0.twimg.com/profile_images/1105526925/Mackley_B_W_normal.png,FFFFFF,,F6FFD1,http://a0.twimg.com/profile_background_images/109123058/paper.gif,C0DEED,0084B4,3600,,,Sono il Mackley. ,2/14/2015 10:54,E13
8858022,Pasquale Valente,pvalente,3371,4111,314,338,47,8,Thu Sep 13 17:06:11 +0000 2007,,it,Rome,"Rome, Italy",,,1,http://a0.twimg.com/profile_images/2622457900/qyjfvqb6mhlpfezb6axa_normal.jpeg,https://si0.twimg.com/profile_banners/8858022/1351765078,1,https://si0.twimg.com/profile_background_images/567425386/ug16mxtplnojwrr4u8hf.jpeg,0,https://si0.twimg.com/profile_images/2622457900/qyjfvqb6mhlpfezb6axa_normal.jpeg,FFFFFF,1,CCCCCC,http://a0.twimg.com/profile_background_images/567425386/ug16mxtplnojwrr4u8hf.jpeg,95B9C7,0000FF,3600,,,"MD, PhD. dalla complessità alla semplicità il passo è breve:          è un passo d'uomo.",2/14/2015 10:54,E13
8927532,Giacomo Beretta,giacomo_beretta,0,1441,97,203,25,2,Mon Sep 17 10:07:02 +0000 2007,http://t.co/wQ34q8zRm1,it,Rome,"Milan, Italy",,,1,http://a0.twimg.com/profile_images/3316623597/7d59c7d32ca3923d1cd19e9ca19014a4_normal.jpeg,NULL,1,https://si0.twimg.com/profile_background_images/396287197/tumblr_lvn8pengBc1r4qmqzo1_1280.jpg,333333,https://si0.twimg.com/profile_images/3316623597/7d59c7d32ca3923d1cd19e9ca19014a4_normal.jpeg,FFF8AD,1,F6FFD1,http://a0.twimg.com/profile_background_images/396287197/tumblr_lvn8pengBc1r4qmqzo1_1280.jpg,FFF04D,0099CC,3600,,,"disilluso, inguaribile e con il vizio di guardare sempre tutto dal lato migliore...",2/14/2015 10:54,E13
8933252,decumano,decumano,13928,1698,289,1930,45,3,Mon Sep 17 16:15:25 +0000 2007,,it,Greenland,,,,,http://a0.twimg.com/profile_images/1623691300/image_normal.jpg,NULL,1,https://si0.twimg.com/images/themes/theme1/bg.png,0,https://si0.twimg.com/profile_images/1623691300/image_normal.jpg,87BC44,,E0FF92,http://a0.twimg.com/images/themes/theme1/bg.png,9AE4E8,0000FF,-10800,,,Ammazzasette,2/14/2015 10:54,E13
9351052,Francesco Benedet,bene83,0,402,93,78,36,4,Wed Oct 10 13:05:24 +0000 2007,http://www.francescobenedet.it,it,Rome,Motta di Livenza (TV) - Italy,,,,http://a0.twimg.com/profile_images/331120294/IMG_2422_normal.jpg,NULL,1,https://si0.twimg.com/images/themes/theme3/bg.gif,634047,https://si0.twimg.com/profile_images/331120294/IMG_2422_normal.jpg,D3D2CF,,E3E2DE,http://a0.twimg.com/images/themes/theme3/bg.gif,EDECE9,88253,3600,,,software developer and system administrator,2/14/2015 10:54,E13
9564632,Erica Firpo,Moscerina,1762,16935,2242,918,44,124,Sat Oct 20 16:29:35 +0000 2007,http://www.ericafirpo.com,en,Rome,"Rome, Italy",,,1,http://a0.twimg.com/profile_images/2626087066/image_normal.jpg,https://si0.twimg.com/profile_banners/9564632/1348045270,1,https://si0.twimg.com/profile_background_images/87642712/Mondi.jpg,333333,https://si0.twimg.com/profile_images/2626087066/image_normal.jpg,DFDFDF,1,F3F3F3,http://a0.twimg.com/profile_background_images/87642712/Mondi.jpg,EBEBEB,990000,3600,,,Writer|Pernicious Know-it-all| Fancypants,2/14/2015 10:54,E13
9939012,Flavio® ,Lonerunner,5,9437,689,891,199,37,Sun Nov 04 13:57:18 +0000 2007,http://t.co/914L4ACt,it,Amsterdam,Verso Sud,,,1,http://a0.twimg.com/profile_images/1909150428/254287_10150285044075362_647725361_9128071_6748607_n_normal.jpg,https://si0.twimg.com/profile_banners/9939012/1354666788,1,https://si0.twimg.com/profile_background_images/730077882/5a7bbe07f77d6878a2852ccd0622e3a6.jpeg,AC1C00,https://si0.twimg.com/profile_images/1909150428/254287_10150285044075362_647725361_9128071_6748607_n_normal.jpg,FFFFFF,,FEA3C5,http://a0.twimg.com/profile_background_images/730077882/5a7bbe07f77d6878a2852ccd0622e3a6.jpeg,E6E6E6,E36A29,3600,,,"Faccio gente, vedo cose...Sembro proprio uno bravo.#Thoughts, #Social, #Green, #Politic #Polemics.Mind is a parachute. It's better works if it's op..sbam!",2/14/2015 10:54,E13
9993142,_Annalisa_,_Annalisa_,1,3742,505,571,100,3,Tue Nov 06 10:11:37 +0000 2007,,it,Rome,"ÜT: 44.537244,10.908635",,,,http://a0.twimg.com/profile_images/1812430789/Jg2nL0W6_normal,https://si0.twimg.com/profile_banners/9993142/1350113822,1,https://si0.twimg.com/profile_background_images/676254969/e09b68da2a9f90f678fbb46d5e9a03ac.png,FFB6B3,https://si0.twimg.com/profile_images/1812430789/Jg2nL0W6_normal,FFFFFF,1,F6D8C0,http://a0.twimg.com/profile_background_images/676254969/e09b68da2a9f90f678fbb46d5e9a03ac.png,3.42E+18,E44D6C,3600,,,"Non si può pensare bene, né amare bene, né dormire bene se non si è pranzato bene.(rubata a Virginia Woolf)",2/14/2015 10:54,E13
10492262,Valentina Bonarrivo,chimelandia,160,770,81,181,89,2,Fri Nov 23 13:35:11 +0000 2007,,it,Hawaii,"Magenta, Milano, Italia.",,,1,http://a0.twimg.com/profile_images/3244952455/de28fc14c9af2f07ba1b03fb5905f305_normal.jpeg,https://si0.twimg.com/profile_banners/10492262/1362585415,1,https://si0.twimg.com/images/themes/theme10/bg.gif,3D1957,https://si0.twimg.com/profile_images/3244952455/de28fc14c9af2f07ba1b03fb5905f305_normal.jpeg,65B0DA,1,7AC3EE,http://a0.twimg.com/images/themes/theme10/bg.gif,642D8B,FF0000,-36000,,,"Torinese trapiantata a Milano con marito romano, amo tutto ciò che riesce ad emozionarmi e rende più intenso un battito del mio cuore.",2/14/2015 10:54,E13
11176152,Francesco ,fpassannanti,18751,1430,128,371,204,1,Fri Dec 14 20:17:04 +0000 2007,,it,Rome,Palermo,,,,http://a0.twimg.com/profile_images/2240418981/IMG_0532_normal.JPG,NULL,1,https://si0.twimg.com/images/themes/theme6/bg.gif,333333,https://si0.twimg.com/profile_images/2240418981/IMG_0532_normal.JPG,86A4A6,,A0C5C7,http://a0.twimg.com/images/themes/theme6/bg.gif,709397,FF3300,3600,,,logico,2/14/2015 10:54,E13
13260592,fausta pavesio,fpav,5454,6996,899,305,346,28,Fri Feb 08 19:40:54 +0000 2008,http://t.co/scSMsuen,en,Rome,"Milan, Italy",,,1,http://a0.twimg.com/profile_images/1372150625/tati2009_normal.jpg,NULL,1,https://si0.twimg.com/images/themes/theme2/bg.gif,663B12,https://si0.twimg.com/profile_images/1372150625/tati2009_normal.jpg,C6E2EE,,DAECF4,http://a0.twimg.com/images/themes/theme2/bg.gif,C6E2EE,1F98C7,3600,,,"Innovation enthusiast, I like to make a difference in everything I do",2/14/2015 10:54,E13
14057516,sognidispersivi,sognidispersivi,133,3284,375,1039,1,8,Thu Feb 28 22:12:36 +0000 2008,,en,Rome,,,,,http://a0.twimg.com/profile_images/2952555273/e30fbf63cb4558683358253534fc58f3_normal.jpeg,NULL,1,https://si0.twimg.com/profile_background_images/350422671/xda222d96b474d201151e333766bc802.png,4B7D82,https://si0.twimg.com/profile_images/2952555273/e30fbf63cb4558683358253534fc58f3_normal.jpeg,E1EBA9,1,AFD1AB,http://a0.twimg.com/profile_background_images/350422671/xda222d96b474d201151e333766bc802.png,572A3C,55B5B3,3600,,,"I know sour, which allows me to appreciate the sweet. // All views here are _obviously_ my own.",2/14/2015 10:54,E13
14112759,Duilio,Biecoblu67,2871,160,46,146,22,0,Mon Mar 10 11:11:44 +0000 2008,http://www.illustraweb.net,fr,Paris,Seyssinet-Pariset,1,,1,http://a0.twimg.com/profile_images/677893567/bieco_normal.jpg,NULL,1,https://si0.twimg.com/images/themes/theme1/bg.png,333333,https://si0.twimg.com/profile_images/677893567/bieco_normal.jpg,C0DEED,,DDEEF6,http://a0.twimg.com/images/themes/theme1/bg.png,C0DEED,0084B4,3600,,,"Duilio, c'est moi",2/14/2015 10:54,E13
14492555,Felice Fossati,felfoss,228,292,57,110,5,0,Wed Apr 23 12:39:39 +0000 2008,http://www.madai.com,en,Greenland,Milano,1,,1,http://a0.twimg.com/profile_images/2033775273/image_normal.jpg,NULL,1,https://si0.twimg.com/images/themes/theme1/bg.png,333333,https://si0.twimg.com/profile_images/2033775273/image_normal.jpg,C0DEED,,DDEEF6,http://a0.twimg.com/images/themes/theme1/bg.png,C0DEED,0084B4,-10800,,,New Bus dev for Madai Ltd http://t.co/BBh27vQ4,2/14/2015 10:54,E13
14709812,ladegri,ladegri,1051,5876,616,647,1061,29,Fri May 09 04:38:07 +0000 2008,,it,Rome,Rome,,,1,http://a0.twimg.com/profile_images/2244300190/3FFC0156-206B-4FC2-B489-404B2F623017_normal,https://si0.twimg.com/profile_banners/14709812/1348158150,1,https://si0.twimg.com/profile_background_images/664701784/9c20a263c8e01dda08d0eb435ef9f57e.jpeg,422D14,https://si0.twimg.com/profile_images/2244300190/3FFC0156-206B-4FC2-B489-404B2F623017_normal,FFFFFF,,FAC400,http://a0.twimg.com/profile_background_images/664701784/9c20a263c8e01dda08d0eb435ef9f57e.jpeg,E6F4FA,CF1C13,3600,,,"Innamorata del Salento, con l'Africa nel cuore: amo i miei animali, odio il sushi, mi drogo di supplì.TW e RT? Opinioni personali, niente più.",2/14/2015 10:54,E13
14865840,Andrea Denaro,AndreaDenaro,0,7534,1132,1096,6,52,Thu May 22 07:46:57 +0000 2008,http://www.andreadenaro.com,en,Rome,"Roma, Italy",,,1,http://a0.twimg.com/profile_images/1651754711/andrea_denaro_1_normal.jpg,https://si0.twimg.com/profile_banners/14865840/1348842613,1,https://si0.twimg.com/profile_background_images/824010691/eee04f6a981947bb2539a28f0643693d.jpeg,333333,https://si0.twimg.com/profile_images/1651754711/andrea_denaro_1_normal.jpg,EEEEEE,,EFEFEF,http://a0.twimg.com/profile_background_images/824010691/eee04f6a981947bb2539a28f0643693d.jpeg,131516,0091FF,3600,,,Dad of 2 . CEO & Serial Entrepreneur . @Dnsee @Wetalk @ProntoPayment @RadioHotels,2/14/2015 10:54,E13
14958182,axel,axela90,5601,1294,254,276,89,8,Fri May 30 21:35:24 +0000 2008,http://fioredimarzo.blogspot.com,it,Rome,"Naples, Italy",,,1,http://a0.twimg.com/profile_images/3413047371/915678f1911c7f4142ed4b31d85e919e_normal.jpeg,https://si0.twimg.com/profile_banners/14958182/1362946697,1,https://si0.twimg.com/profile_background_images/812063481/e7d615540e502c6c5a8bb41645aa1e32.png,857683,https://si0.twimg.com/profile_images/3413047371/915678f1911c7f4142ed4b31d85e919e_normal.jpeg,0D0D0D,1,4B4C52,http://a0.twimg.com/profile_background_images/812063481/e7d615540e502c6c5a8bb41645aa1e32.png,E3E1DA,A23E5A,3600,,,"Ha 22 anni e studia architettura. Books&Music addicted. Prende la vita con filosofia, ma forse con quella sbagliata.",2/14/2015 10:54,E13
15016610,Fabrizio Picca,fabpicca,4068,6340,298,419,5,15,Thu Jun 05 11:19:06 +0000 2008,http://www.fabpicca.net,en,Rome,"Milan, Italy",,,1,http://a0.twimg.com/profile_images/3288712492/c4b21e74e22dc8a5b6ed8978f7c66a8d_normal.jpeg,https://si0.twimg.com/profile_banners/15016610/1354021733,1,https://si0.twimg.com/profile_background_images/722800773/de6e8d3c1ea7a3e035e8421c3fa9465b.jpeg,0,https://si0.twimg.com/profile_images/3288712492/c4b21e74e22dc8a5b6ed8978f7c66a8d_normal.jpeg,0,,E0DDDD,http://a0.twimg.com/profile_background_images/722800773/de6e8d3c1ea7a3e035e8421c3fa9465b.jpeg,0,FF7003,3600,,,"I make sophisticated things, but I'm definitively not sophisticated.",2/14/2015 10:54,E13
15271419,Salvatore Vernali,svernali,4408,5472,6352,3873,65,11,Sun Jun 29 16:07:39 +0000 2008,http://t.co/DLei5I8CDO,it,Rome,milano,,,1,http://a0.twimg.com/profile_images/2861920578/c88650a5db2e24dc00a6516c5f830515_normal.jpeg,NULL,1,https://si0.twimg.com/images/themes/theme14/bg.gif,333333,https://si0.twimg.com/profile_images/2861920578/c88650a5db2e24dc00a6516c5f830515_normal.jpeg,EEEEEE,1,EFEFEF,http://a0.twimg.com/images/themes/theme14/bg.gif,131516,9999,3600,,,"Quanto più già si sa, tanto più bisogna ancora imparare. Con il sapere cresce nello stesso grado il non sapere, o meglio il sapere del non sapere.F Nietzsche",2/14/2015 10:54,E13
15391421,Maxio75,maxio75,1,22540,2065,1125,0,64,Fri Jul 11 13:49:43 +0000 2008,http://virgiliosalerno.myblog.it,it,Rome,Salerno - ITALY,,,1,http://a0.twimg.com/profile_images/81350694/DSC04395_normal.JPG,https://si0.twimg.com/profile_banners/15391421/1347992717,1,https://si0.twimg.com/profile_background_images/43793953/twitBGLlkcui.jpg,0,https://si0.twimg.com/profile_images/81350694/DSC04395_normal.JPG,0077B1,,EEEEEE,http://a0.twimg.com/profile_background_images/43793953/twitBGLlkcui.jpg,0077B1,0077B1,3600,,,50% Silk 50% Polyester.Do not put the iron over the earphones extension on the garment side,2/14/2015 10:54,E13
15836275,Giangiacomo Miani,lazy_,103,732,85,338,16,3,Wed Aug 13 13:08:28 +0000 2008,http://t.co/dW2TAqW8,en,Rome,"Vimercate, Milano, Italia",,,1,http://a0.twimg.com/profile_images/1171722860/profilo_normal.jpg,https://si0.twimg.com/profile_banners/15836275/1353842669,1,https://si0.twimg.com/images/themes/theme18/bg.gif,333333,https://si0.twimg.com/profile_images/1171722860/profilo_normal.jpg,0,,F6F6F6,http://a0.twimg.com/images/themes/theme18/bg.gif,ACDED6,38543,3600,,,ragazzo di belle speranze e senza speranza,2/14/2015 10:54,E13
15873303,Ma te? Ooo!!,Matteo81,1322,38781,623,323,1209,22,Sat Aug 16 13:39:31 +0000 2008,http://youtu.be/uahU5m6Hvj4,en,Rome,"Rome, Italy",,,1,http://a0.twimg.com/profile_images/3392593798/0ef6139ea95c0f11cc9c6f844b14a655_normal.jpeg,https://si0.twimg.com/profile_banners/15873303/1351493249,1,https://si0.twimg.com/profile_background_images/397202109/3048.jpg,666666,https://si0.twimg.com/profile_images/3392593798/0ef6139ea95c0f11cc9c6f844b14a655_normal.jpeg,181A1E,,252429,http://a0.twimg.com/profile_background_images/397202109/3048.jpg,1A1B1F,2FC2EF,3600,,,Daje non v'accollate co sta cosa della bio eh? Ce ne stanno di belle su Twitter non venite a rompe a me! E NON C'HO FRATELLI! Instagram:mat1981,2/14/2015 10:54,E13
16093829,BetfairItalia,BetfairItalia,901,10451,1265,323,38,24,Tue Sep 02 06:48:00 +0000 2008,https://www.betfair.it,it,Rome,Milano,,,1,http://a0.twimg.com/profile_images/1461440208/arr_normal.jpg,https://si0.twimg.com/profile_banners/16093829/1348433953,1,https://si0.twimg.com/profile_background_images/641601249/260r3f8i66tjo2xcrpgw.jpeg,0,https://si0.twimg.com/profile_images/1461440208/arr_normal.jpg,E1E1E1,,E1E1E1,http://a0.twimg.com/profile_background_images/641601249/260r3f8i66tjo2xcrpgw.jpeg,FFBB00,00A82C,3600,,,"Suggerimenti per le scommesse, commenti e news sportive in tempo reale dall'account italiano di Betfair. Siamo anche su Facebook. https://t.co/tPOBpO3u",2/14/2015 10:54,E13
16591972,aldofontana,aldofontana,72,2784,256,873,284,2,Sat Oct 04 15:05:37 +0000 2008,http://www.studioarches.it,it,Rome,"milan, Italy",,,,http://a0.twimg.com/profile_images/1182667829/Foto0109_normal.jpg,NULL,1,https://si0.twimg.com/images/themes/theme7/bg.gif,333333,https://si0.twimg.com/profile_images/1182667829/Foto0109_normal.jpg,DFDFDF,,F3F3F3,http://a0.twimg.com/images/themes/theme7/bg.gif,EBEBEB,990000,3600,,,"nano, bio, info, web, tech... architect, what else?",2/14/2015 10:54,E13
16927266,Davide D'Amico,davidedamico,49,823,43,109,5,1,Thu Oct 23 14:22:26 +0000 2008,,it,Rome,"Milano, Lombardia",,,,http://a0.twimg.com/profile_images/3198922809/56093954657b9415ecb10ee07214c313_normal.jpeg,NULL,1,https://si0.twimg.com/images/themes/theme4/bg.gif,3C3940,https://si0.twimg.com/profile_images/3198922809/56093954657b9415ecb10ee07214c313_normal.jpeg,5ED4DC,,95E8EC,http://a0.twimg.com/images/themes/theme4/bg.gif,0099B9,0099B9,3600,,,root@localhost.,2/14/2015 10:54,E13
17654864,LuigiCS,LuigiCS,764,442,79,259,0,3,Wed Nov 26 17:41:01 +0000 2008,http://greendemos.blogspot.com/,en,Rome,London,1,,,http://a0.twimg.com/profile_images/1645001930/98d602aa0fc44f3b817c6231ba767616_7_normal.jpg,NULL,1,https://si0.twimg.com/images/themes/theme1/bg.png,333333,https://si0.twimg.com/profile_images/1645001930/98d602aa0fc44f3b817c6231ba767616_7_normal.jpg,C0DEED,,DDEEF6,http://a0.twimg.com/images/themes/theme1/bg.png,C0DEED,0084B4,3600,,,Studente-Disoccupato. Apolide-Meridionalista,2/14/2015 10:54,E13
17852114,Paola Scarpini,paola_uk,748,350,86,131,116,3,Wed Dec 03 22:56:45 +0000 2008,,en,London,UK,,,1,http://a0.twimg.com/profile_images/1336459321/Picture_7_normal.jpg,https://si0.twimg.com/profile_banners/17852114/1354466112,1,https://si0.twimg.com/profile_background_images/810152442/c78398618b53e26e7ded50b0694c94ff.png,960602,https://si0.twimg.com/profile_images/1336459321/Picture_7_normal.jpg,FAF9EE,1,F2E8A2,http://a0.twimg.com/profile_background_images/810152442/c78398618b53e26e7ded50b0694c94ff.png,550403,7A0203,0,,,"Medievalist in French and Italian Literature, (finally!) I'm a Doctor, fighting with academia most of the time, I still don't know why I'm in England. ",2/14/2015 10:54,E13
18173213,lizzappi,lizzappi,3399,3694,393,1047,6,8,Tue Dec 16 21:25:09 +0000 2008,http://t.co/ULh7ytYO,en,Eastern Time (US & Canada),Miami Beach,,,,http://a0.twimg.com/profile_images/567263347/untitledsmm_normal.bmp,NULL,1,https://si0.twimg.com/profile_background_images/748005704/ac48121a528ef2048ad01d9c5a021fe0.jpeg,333333,https://si0.twimg.com/profile_images/567263347/untitledsmm_normal.bmp,FFFFFF,1,EFEFEF,http://a0.twimg.com/profile_background_images/748005704/ac48121a528ef2048ad01d9c5a021fe0.jpeg,BF1238,BF1238,-18000,,,Political Art-Politics-Africa-Cinema-History-Social-Business-Afrobeat-Jazz-BRIC-Non-Profit-Emancipation-Education-Social Justice-We The People-FELA-SADE-& You ,2/14/2015 10:54,E13
18527544,Carlito,CarloFPC,1900,9686,208,196,219,4,Thu Jan 01 12:37:42 +0000 2009,http://oblab.com,it,Rome,,,,1,http://a0.twimg.com/profile_images/3263412668/9fc275ff414c5556d2f225d0f7022ebb_normal.jpeg,https://si0.twimg.com/profile_banners/18527544/1356721253,1,https://si0.twimg.com/images/themes/theme9/bg.gif,666666,https://si0.twimg.com/profile_images/3263412668/9fc275ff414c5556d2f225d0f7022ebb_normal.jpeg,181A1E,,252429,http://a0.twimg.com/images/themes/theme9/bg.gif,1A1B1F,2FC2EF,3600,,,"Informatico per svago, fotografo per caso, volontario Emergency per scelta.",2/14/2015 10:54,E13
